"Nom_latin";"Date";"Nombre"
"1";"Anas";"1981-01-15";"900220"
"2";"Anas";"1981-02-15";"434780"
"3";"Anas";"1981-03-15";"330675"
"4";"Anas";"1981-04-15";"43810"
"5";"Anas";"1981-05-15";"25360"
"6";"Anas";"1981-06-15";"63935"
"7";"Anas";"1981-07-15";"142375"
"8";"Anas";"1981-08-15";"180432.5"
"9";"Anas";"1981-09-15";"392395"
"10";"Anas";"1981-10-15";"658660"
"11";"Anas";"1981-11-15";"716582.5"
"12";"Anas";"1981-12-15";"967887.5"
"13";"Anas";"1982-01-15";"868762.5"
"14";"Anas";"1982-02-15";"409982.5"
"15";"Anas";"1982-03-15";"214630"
"16";"Anas";"1982-04-15";"27702.5"
"17";"Anas";"1982-05-15";"21632.5"
"18";"Anas";"1982-06-15";"101242.5"
"19";"Anas";"1982-07-15";"161402.5"
"20";"Anas";"1982-08-15";"126415"
"21";"Anas";"1982-09-15";"447942.5"
"22";"Anas";"1982-10-15";"650132.5"
"23";"Anas";"1982-11-15";"668402.5"
"24";"Anas";"1982-12-15";"623055"
"25";"Anas";"1983-01-15";"522525"
"26";"Anas";"1983-02-15";"513692.5"
"27";"Anas";"1983-03-15";"165685"
"28";"Anas";"1983-04-15";"29962.5"
"29";"Anas";"1983-05-15";"28260"
"30";"Anas";"1983-06-15";"76580"
"31";"Anas";"1983-07-15";"27462.5"
"32";"Anas";"1983-08-15";"479900"
"33";"Anas";"1983-09-15";"479900"
"34";"Anas";"1983-10-15";"928915"
"35";"Anas";"1983-11-15";"861830"
"36";"Anas";"1983-12-15";"977402.5"
"37";"Anas";"1984-01-15";"788482.5"
"38";"Anas";"1984-02-15";"557720"
"39";"Anas";"1984-03-15";"278700"
"40";"Anas";"1984-04-15";"72377.5"
"41";"Anas";"1984-05-15";"17957.5"
"42";"Anas";"1984-06-15";"101592.5"
"43";"Anas";"1984-07-15";"256687.5"
"44";"Anas";"1984-08-15";"456367.5"
"45";"Anas";"1984-09-15";"538792.5"
"46";"Anas";"1984-10-15";"907557.5"
"47";"Anas";"1984-11-15";"827782.5"
"48";"Anas";"1984-12-15";"528827.5"
"49";"Anas";"1985-01-15";"0"
"50";"Anas";"1985-02-15";"263202.5"
"51";"Anas";"1985-03-15";"169330"
"52";"Anas";"1985-04-15";"32030"
"53";"Anas";"1985-05-15";"26427.5"
"54";"Anas";"1985-06-15";"81357.5"
"55";"Anas";"1985-07-15";"400982.5"
"56";"Anas";"1985-08-15";"543362.5"
"57";"Anas";"1985-09-15";"797682.5"
"58";"Anas";"1985-10-15";"1232907.5"
"59";"Anas";"1985-11-15";"1141177.5"
"60";"Anas";"1985-12-15";"1125560"
"61";"Anas";"1986-01-15";"808880"
"62";"Anas";"1986-02-15";"635010"
"63";"Anas";"1986-03-15";"291565"
"64";"Anas";"1986-04-15";"94505"
"65";"Anas";"1986-05-15";"83405"
"66";"Anas";"1986-06-15";"188655"
"67";"Anas";"1986-07-15";"480492.5"
"68";"Anas";"1986-08-15";"624860"
"69";"Anas";"1986-09-15";"888630"
"70";"Anas";"1986-10-15";"1160557.5"
"71";"Anas";"1986-11-15";"1214810"
"72";"Anas";"1986-12-15";"991655"
"73";"Anas";"1987-01-15";"108377.5"
"74";"Anas";"1987-02-15";"0"
"75";"Anas";"1987-03-15";"0"
"76";"Anas";"1987-04-15";"0"
"77";"Anas";"1987-05-15";"0"
"78";"Anas";"1987-06-15";"0"
"79";"Anas";"1987-07-15";"0"
"80";"Anas";"1987-08-15";"495075"
"81";"Anas";"1987-09-15";"706462.5"
"82";"Anas";"1987-10-15";"0"
"83";"Anas";"1987-11-15";"749805"
"84";"Anas";"1987-12-15";"816305"
"85";"Anas";"1988-01-15";"453082.5"
"86";"Anas";"1988-02-15";"258230"
"87";"Anas";"1988-03-15";"164555"
"88";"Anas";"1988-04-15";"38150"
"89";"Anas";"1988-05-15";"47725"
"90";"Anas";"1988-06-15";"95400"
"91";"Anas";"1988-07-15";"322055"
"92";"Anas";"1988-08-15";"433180"
"93";"Anas";"1988-09-15";"846710"
"94";"Anas";"1988-10-15";"911962.5"
"95";"Anas";"1988-11-15";"1454900"
"96";"Anas";"1988-12-15";"882207.5"
"97";"Anas";"1989-01-15";"1047110"
"98";"Anas";"1989-02-15";"320675"
"99";"Anas";"1989-03-15";"203817.5"
"100";"Anas";"1989-04-15";"118500"
"101";"Anas";"1989-05-15";"75290"
"102";"Anas";"1989-06-15";"162422.5"
"103";"Anas";"1989-07-15";"282152.5"
"104";"Anas";"1989-08-15";"210350"
"105";"Anas";"1989-09-15";"378477.5"
"106";"Anas";"1989-10-15";"803037.5"
"107";"Anas";"1989-11-15";"1427330"
"108";"Anas";"1989-12-15";"1068985"
"109";"Anas";"1990-01-15";"636080"
"110";"Anas";"1990-02-15";"325625"
"111";"Anas";"1990-03-15";"275025"
"112";"Anas";"1990-04-15";"121880"
"113";"Anas";"1990-05-15";"69777.5"
"114";"Anas";"1990-06-15";"202500"
"115";"Anas";"1990-07-15";"353800"
"116";"Anas";"1990-08-15";"408300"
"117";"Anas";"1990-09-15";"618250"
"118";"Anas";"1990-10-15";"1052580"
"119";"Anas";"1990-11-15";"1152860"
"120";"Anas";"1990-12-15";"848235"
"121";"Anas";"1991-01-15";"734887.5"
"122";"Anas";"1991-02-15";"869055"
"123";"Anas";"1991-03-15";"495690"
"124";"Anas";"1991-04-15";"87987.5"
"125";"Anas";"1991-05-15";"82770"
"126";"Anas";"1991-06-15";"216805"
"127";"Anas";"1991-07-15";"435950"
"128";"Anas";"1991-08-15";"482625"
"129";"Anas";"1991-09-15";"412875"
"130";"Anas";"1991-10-15";"795427.5"
"131";"Anas";"1991-11-15";"1801180"
"132";"Anas";"1991-12-15";"915457.5"
"133";"Anas";"1992-01-15";"964680"
"134";"Anas";"1992-02-15";"863750"
"135";"Anas";"1992-03-15";"1026675"
"136";"Anas";"1992-04-15";"183115"
"137";"Anas";"1992-05-15";"116465"
"138";"Anas";"1992-06-15";"142225"
"139";"Anas";"1992-07-15";"278502.5"
"140";"Anas";"1992-08-15";"481915"
"141";"Anas";"1992-09-15";"436885"
"142";"Anas";"1992-10-15";"1828255"
"143";"Anas";"1992-11-15";"1862110"
"144";"Anas";"1992-12-15";"764180"
"145";"Anas";"1993-01-15";"728352.5"
"146";"Anas";"1993-02-15";"469632.5"
"147";"Anas";"1993-03-15";"420682.5"
"148";"Anas";"1993-04-15";"310510"
"149";"Anas";"1993-05-15";"91780"
"150";"Anas";"1993-06-15";"216980"
"151";"Anas";"1993-07-15";"434132.5"
"152";"Anas";"1993-08-15";"332252.5"
"153";"Anas";"1993-09-15";"402635"
"154";"Anas";"1993-10-15";"755005"
"155";"Anas";"1993-11-15";"760827.5"
"156";"Anas";"1993-12-15";"1765430"
"157";"Anas";"1994-01-15";"647250"
"158";"Anas";"1994-02-15";"392100"
"159";"Anas";"1994-03-15";"311900"
"160";"Anas";"1994-04-15";"169755"
"161";"Anas";"1994-05-15";"87120"
"162";"Anas";"1994-06-15";"102525"
"163";"Anas";"1994-07-15";"219115"
"164";"Anas";"1994-08-15";"186275"
"165";"Anas";"1994-09-15";"289350"
"166";"Anas";"1994-10-15";"857910"
"167";"Anas";"1994-11-15";"956432.5"
"168";"Anas";"1994-12-15";"1137405"
"169";"Anas";"1995-01-15";"764727.5"
"170";"Anas";"1995-02-15";"534175"
"171";"Anas";"1995-03-15";"343050"
"172";"Anas";"1995-04-15";"160090"
"173";"Anas";"1995-05-15";"140550"
"174";"Anas";"1995-06-15";"198945"
"175";"Anas";"1995-07-15";"370790"
"176";"Anas";"1995-08-15";"308005"
"177";"Anas";"1995-09-15";"278650"
"178";"Anas";"1995-10-15";"702205"
"179";"Anas";"1995-11-15";"1129225"
"180";"Anas";"1995-12-15";"1940210"
"181";"Anas";"1996-01-15";"742750"
"182";"Anas";"1996-02-15";"350250"
"183";"Anas";"1996-03-15";"302655"
"184";"Anas";"1996-04-15";"235405"
"185";"Anas";"1996-05-15";"181000"
"186";"Anas";"1996-06-15";"241825"
"187";"Anas";"1996-07-15";"386852.5"
"188";"Anas";"1996-08-15";"214610"
"189";"Anas";"1996-09-15";"480077.5"
"190";"Anas";"1996-10-15";"576025"
"191";"Anas";"1996-11-15";"745275"
"192";"Anas";"1996-12-15";"487775"
"193";"Anas";"1997-01-15";"392250"
"194";"Anas";"1997-02-15";"270000"
"195";"Anas";"1997-03-15";"197290"
"196";"Anas";"1997-04-15";"181755"
"197";"Anas";"1997-05-15";"176950"
"198";"Anas";"1997-06-15";"151275"
"199";"Anas";"1997-07-15";"128725"
"200";"Anas";"1997-08-15";"196325"
"201";"Anas";"1997-09-15";"367755"
"202";"Anas";"1997-10-15";"403405"
"203";"Anas";"1997-11-15";"565752.5"
"204";"Anas";"1997-12-15";"530900"
"205";"Anas";"1998-01-15";"451800"
"206";"Anas";"1998-02-15";"236750"
"207";"Anas";"1998-03-15";"250290"
"208";"Anas";"1998-04-15";"110325"
"209";"Anas";"1998-05-15";"12225"
"210";"Anas";"1998-06-15";"178425"
"211";"Anas";"1998-07-15";"164850"
"212";"Anas";"1998-08-15";"114400"
"213";"Anas";"1998-09-15";"230750"
"214";"Anas";"1998-10-15";"440575"
"215";"Anas";"1998-11-15";"385350"
"216";"Anas";"1998-12-15";"862055"
"217";"Anas";"1999-01-15";"442000"
"218";"Anas";"1999-02-15";"377500"
"219";"Anas";"1999-03-15";"325240"
"220";"Anas";"1999-04-15";"105390"
"221";"Anas";"1999-05-15";"76895"
"222";"Anas";"1999-06-15";"101300"
"223";"Anas";"1999-07-15";"159465"
"224";"Anas";"1999-08-15";"283055"
"225";"Anas";"1999-09-15";"384330"
"226";"Anas";"1999-10-15";"335177.5"
"227";"Anas";"1999-11-15";"552450"
"228";"Anas";"1999-12-15";"494700"
"229";"Anas";"2000-01-15";"483500"
"230";"Anas";"2000-02-15";"441500"
"231";"Anas";"2000-03-15";"334515"
"232";"Anas";"2000-04-15";"91277.5"
"233";"Anas";"2000-05-15";"71175"
"234";"Anas";"2000-06-15";"133050"
"235";"Anas";"2000-07-15";"200100"
"236";"Anas";"2000-08-15";"211310"
"237";"Anas";"2000-09-15";"358175"
"238";"Anas";"2000-10-15";"351175"
"239";"Anas";"2000-11-15";"327625"
"240";"Anas";"2000-12-15";"451525"
"241";"Anas";"2001-01-15";"380750"
"242";"Anas";"2001-02-15";"3e+05"
"243";"Anas";"2001-03-15";"232030"
"244";"Anas";"2001-04-15";"41710"
"245";"Anas";"2001-05-15";"36975"
"246";"Anas";"2001-06-15";"91760"
"247";"Anas";"2001-07-15";"159925"
"248";"Anas";"2001-08-15";"223090"
"249";"Anas";"2001-09-15";"334560"
"250";"Anas";"2001-10-15";"339175"
"251";"Anas";"2001-11-15";"550957.5"
"252";"Anas";"2001-12-15";"677375"
"253";"Anas";"2002-01-15";"496427.5"
"254";"Anas";"2002-02-15";"390875"
"255";"Anas";"2002-03-15";"483375"
"256";"Anas";"2002-04-15";"139215"
"257";"Anas";"2002-05-15";"74765"
"258";"Anas";"2002-06-15";"0"
"259";"Anas";"2002-07-15";"186175"
"260";"Anas";"2002-08-15";"228220"
"261";"Anas";"2002-09-15";"237275"
"262";"Anas";"2002-10-15";"359625"
"263";"Anas";"2002-11-15";"468750"
"264";"Anas";"2002-12-15";"564677.5"
"265";"Anas";"2003-01-15";"372250"
"266";"Anas";"2003-02-15";"426982.5"
"267";"Anas";"2003-03-15";"179780"
"268";"Anas";"2003-04-15";"202330"
"269";"Anas";"2003-05-15";"155400"
"270";"Anas";"2003-06-15";"130700"
"271";"Anas";"2003-07-15";"140200"
"272";"Anas";"2003-08-15";"137250"
"273";"Anas";"2003-09-15";"263900"
"274";"Anas";"2003-10-15";"523775"
"275";"Anas";"2003-11-15";"545775"
"276";"Anas";"2003-12-15";"451500"
"277";"Anas";"2004-01-15";"392150"
"278";"Anas";"2004-02-15";"310900"
"279";"Anas";"2004-03-15";"486790"
"280";"Anas";"2004-04-15";"222120"
"281";"Anas";"2004-05-15";"93190"
"282";"Anas";"2004-06-15";"101600"
"283";"Anas";"2004-07-15";"153475"
"284";"Anas";"2004-08-15";"270400"
"285";"Anas";"2004-09-15";"339400"
"286";"Anas";"2004-10-15";"537400"
"287";"Anas";"2004-11-15";"492525"
"288";"Anas";"2004-12-15";"607500"
"289";"Anas";"2005-01-15";"546350"
"290";"Anas";"2005-02-15";"685475"
"291";"Anas";"2005-03-15";"368527.5"
"292";"Anas";"2005-04-15";"345225"
"293";"Anas";"2005-05-15";"153925"
"294";"Anas";"2005-06-15";"0"
"295";"Anas";"2005-07-15";"86775"
"296";"Anas";"2005-08-15";"91750"
"297";"Anas";"2005-09-15";"211025"
"298";"Anas";"2005-10-15";"322350"
"299";"Anas";"2005-11-15";"0"
"300";"Anas";"2005-12-15";"365250"
"301";"Anas";"2006-01-15";"665225"
"302";"Anas";"2006-02-15";"776700"
"303";"Anas";"2006-03-15";"541625"
"304";"Anas";"2006-04-15";"132285"
"305";"Anas";"2006-05-15";"102225"
"306";"Anas";"2006-06-15";"187025"
"307";"Anas";"2006-07-15";"85625"
"308";"Anas";"2006-08-15";"371725"
"309";"Anas";"2006-09-15";"253842.5"
"310";"Anas";"2006-10-15";"337500"
"311";"Anas";"2006-11-15";"543525"
"312";"Anas";"2006-12-15";"0"
"313";"Anas";"2007-01-15";"548300"
"314";"Anas";"2007-02-15";"461782.5"
"315";"Anas";"2007-03-15";"248490"
"316";"Anas";"2007-04-15";"36630"
"317";"Anas";"2007-05-15";"72950"
"318";"Anas";"2007-06-15";"127300"
"319";"Anas";"2007-07-15";"73950"
"320";"Anas";"2007-08-15";"261200"
"321";"Anas";"2007-09-15";"244750"
"322";"Anas";"2007-10-15";"387040"
"323";"Anas";"2007-11-15";"435342.5"
"324";"Anas";"2007-12-15";"496655"
"325";"Anas";"2008-01-15";"882640"
"326";"Anas";"2008-02-15";"377725"
"327";"Anas";"2008-03-15";"438950"
"328";"Anas";"2008-04-15";"36140"
"329";"Anas";"2008-05-15";"225400"
"330";"Anas";"2008-06-15";"196380"
"331";"Anas";"2008-07-15";"210450"
"332";"Anas";"2008-08-15";"184475"
"333";"Anas";"2008-09-15";"0"
"334";"Anas";"2008-10-15";"256100"
"335";"Anas";"2008-11-15";"299125"
"336";"Anas";"2008-12-15";"530975"
"337";"Anas";"2009-01-15";"810950"
"338";"Anas";"2009-02-15";"447925"
"339";"Anas";"2009-03-15";"709887.5"
"340";"Anas";"2009-04-15";"135857.5"
"341";"Anas";"2009-05-15";"74250"
"342";"Anas";"2009-06-15";"92900"
"343";"Anas";"2009-07-15";"424170"
"344";"Anas";"2009-08-15";"2e+05"
"345";"Anas";"2009-09-15";"742325"
"346";"Anas";"2009-10-15";"541525"
"347";"Anas";"2009-11-15";"688575"
"348";"Anas";"2009-12-15";"691775"
"349";"Anas";"2010-01-15";"609182.5"
"350";"Anas";"2010-02-15";"583975"
"351";"Anas";"2010-03-15";"365350"
"352";"Anas";"2010-04-15";"186625"
"353";"Anas";"2010-05-15";"83050"
"354";"Anas";"2010-06-15";"189500"
"355";"Anas";"2010-07-15";"316775"
"356";"Anas";"2010-08-15";"376650"
"357";"Anas";"2010-09-15";"183275"
"358";"Anas";"2010-10-15";"89700"
"359";"Anas";"2010-11-15";"455050"
"360";"Anas";"2010-12-15";"816275"
"361";"Anas";"2011-01-15";"731902.5"
"362";"Anas";"2011-02-15";"488627.5"
"363";"Anas";"2011-03-15";"500805"
"364";"Anas";"2011-04-15";"157970"
"365";"Anas";"2011-05-15";"317725"
"366";"Anas";"2011-06-15";"321225"
"367";"Anas";"2011-07-15";"237500"
"368";"Anas";"2011-08-15";"168000"
"369";"Anas";"2011-09-15";"431550"
"370";"Anas";"2011-10-15";"141600"
"371";"Anas";"2011-11-15";"874027.5"
"372";"Anas";"2011-12-15";"621100"
"373";"Anas";"2012-01-15";"790625"
"374";"Anas";"2012-02-15";"688260"
"375";"Anas";"2012-03-15";"754387.5"
"376";"Anas";"2012-04-15";"344285"
"377";"Anas";"2012-05-15";"242740"
"378";"Anas";"2012-06-15";"262150"
"379";"Anas";"2012-07-15";"323925"
"380";"Anas";"2012-08-15";"782325"
"381";"Anas";"2012-09-15";"653450"
"382";"Anas";"2012-10-15";"759700"
"383";"Anas";"2012-11-15";"905475"
"384";"Anas";"2012-12-15";"535400"
"385";"Anas";"2013-01-15";"718977.5"
"386";"Anas";"2013-02-15";"1021282.5"
"387";"Anas";"2013-03-15";"637062.5"
"388";"Anas";"2013-04-15";"265130"
"389";"Anas";"2013-05-15";"157407.5"
"390";"Anas";"2013-06-15";"228090"
"391";"Anas";"2013-07-15";"574302.5"
"392";"Anas";"2013-08-15";"1352067.5"
"393";"Anas";"2013-09-15";"1578512.5"
"394";"Anas";"2013-10-15";"1283650"
"395";"Anas";"2013-11-15";"1128532.5"
"396";"Anas";"2013-12-15";"731605"
"397";"Anas";"2014-01-15";"653400"
"398";"Anas";"2014-02-15";"442650"
"399";"Anas";"2014-03-15";"596700"
"400";"Anas";"2014-04-15";"371260"
"401";"Anas";"2014-05-15";"205955"
"402";"Anas";"2014-06-15";"165050"
"403";"Anas";"2014-07-15";"249550"
"404";"Anas";"2014-08-15";"416150"
"405";"Anas";"2014-09-15";"523525"
"406";"Anas";"2014-10-15";"672575"
"407";"Anas";"2014-11-15";"767227.5"
"408";"Anas";"2014-12-15";"894600"
"409";"Anas";"2015-01-15";"549825"
"410";"Anas";"2015-02-15";"422925"
"411";"Anas";"2015-03-15";"651960"
"412";"Anas";"2015-04-15";"299615"
"413";"Anas";"2015-05-15";"149725"
"414";"Anas";"2015-06-15";"251450"
"415";"Anas";"2015-07-15";"132050"
"416";"Anas";"2015-08-15";"325500"
"417";"Anas";"2015-09-15";"540925"
"418";"Anas";"2015-10-15";"768100"
"419";"Anas";"2015-11-15";"767775"
"420";"Anas";"2015-12-15";"775927.5"
"421";"Anas";"2016-01-15";"875450"
"422";"Anas";"2016-02-15";"559160"
"423";"Anas";"2016-03-15";"424357.5"
"424";"Calidris";"1981-01-15";"81340"
"425";"Calidris";"1981-02-15";"270"
"426";"Calidris";"1981-03-15";"900"
"427";"Calidris";"1981-04-15";"135"
"428";"Calidris";"1981-05-15";"2992.5"
"429";"Calidris";"1981-06-15";"360"
"430";"Calidris";"1981-07-15";"90"
"431";"Calidris";"1981-08-15";"38745"
"432";"Calidris";"1981-09-15";"33512.5"
"433";"Calidris";"1981-10-15";"93767.5"
"434";"Calidris";"1981-11-15";"209787.5"
"435";"Calidris";"1981-12-15";"585340"
"436";"Calidris";"1982-01-15";"25710"
"437";"Calidris";"1982-02-15";"162030"
"438";"Calidris";"1982-03-15";"141750"
"439";"Calidris";"1982-04-15";"63340"
"440";"Calidris";"1982-05-15";"0"
"441";"Calidris";"1982-06-15";"975"
"442";"Calidris";"1982-07-15";"1475"
"443";"Calidris";"1982-08-15";"13950"
"444";"Calidris";"1982-09-15";"38260"
"445";"Calidris";"1982-10-15";"262152.5"
"446";"Calidris";"1982-11-15";"307830"
"447";"Calidris";"1982-12-15";"587040"
"448";"Calidris";"1983-01-15";"620240"
"449";"Calidris";"1983-02-15";"117170"
"450";"Calidris";"1983-03-15";"396200"
"451";"Calidris";"1983-04-15";"18297.5"
"452";"Calidris";"1983-05-15";"42247.5"
"453";"Calidris";"1983-06-15";"405"
"454";"Calidris";"1983-07-15";"135"
"455";"Calidris";"1983-08-15";"28715"
"456";"Calidris";"1983-09-15";"62657"
"457";"Calidris";"1983-10-15";"256412.5"
"458";"Calidris";"1983-11-15";"985420"
"459";"Calidris";"1983-12-15";"859740"
"460";"Calidris";"1984-01-15";"77280"
"461";"Calidris";"1984-02-15";"36367.5"
"462";"Calidris";"1984-03-15";"5160"
"463";"Calidris";"1984-04-15";"37020"
"464";"Calidris";"1984-05-15";"111390"
"465";"Calidris";"1984-06-15";"90"
"466";"Calidris";"1984-07-15";"2160"
"467";"Calidris";"1984-08-15";"22255"
"468";"Calidris";"1984-09-15";"74650"
"469";"Calidris";"1984-10-15";"227542.5"
"470";"Calidris";"1984-11-15";"1102500"
"471";"Calidris";"1984-12-15";"225600"
"472";"Calidris";"1985-01-15";"0"
"473";"Calidris";"1985-02-15";"481500"
"474";"Calidris";"1985-03-15";"103670"
"475";"Calidris";"1985-04-15";"0"
"476";"Calidris";"1985-05-15";"18610"
"477";"Calidris";"1985-06-15";"0"
"478";"Calidris";"1985-07-15";"472.5"
"479";"Calidris";"1985-08-15";"44982.5"
"480";"Calidris";"1985-09-15";"56780"
"481";"Calidris";"1985-10-15";"130202.5"
"482";"Calidris";"1985-11-15";"235342.5"
"483";"Calidris";"1985-12-15";"175500"
"484";"Calidris";"1986-01-15";"0"
"485";"Calidris";"1986-02-15";"75600"
"486";"Calidris";"1986-03-15";"193500"
"487";"Calidris";"1986-04-15";"7650"
"488";"Calidris";"1986-05-15";"4305"
"489";"Calidris";"1986-06-15";"0"
"490";"Calidris";"1986-07-15";"495"
"491";"Calidris";"1986-08-15";"36592.5"
"492";"Calidris";"1986-09-15";"0"
"493";"Calidris";"1986-10-15";"20655"
"494";"Calidris";"1986-11-15";"0"
"495";"Calidris";"1986-12-15";"199790"
"496";"Calidris";"1987-01-15";"81000"
"497";"Calidris";"1987-02-15";"330370"
"498";"Calidris";"1987-03-15";"189030"
"499";"Calidris";"1987-04-15";"450"
"500";"Calidris";"1987-05-15";"0"
"501";"Calidris";"1987-06-15";"0"
"502";"Calidris";"1987-07-15";"0"
"503";"Calidris";"1987-08-15";"7650"
"504";"Calidris";"1987-09-15";"3150"
"505";"Calidris";"1987-10-15";"109915"
"506";"Calidris";"1987-11-15";"245027.5"
"507";"Calidris";"1987-12-15";"403310"
"508";"Calidris";"1988-01-15";"580590"
"509";"Calidris";"1988-02-15";"99090"
"510";"Calidris";"1988-03-15";"225"
"511";"Calidris";"1988-04-15";"0"
"512";"Calidris";"1988-05-15";"180"
"513";"Calidris";"1988-06-15";"0"
"514";"Calidris";"1988-07-15";"0"
"515";"Calidris";"1988-08-15";"27577.5"
"516";"Calidris";"1988-09-15";"51197.5"
"517";"Calidris";"1988-10-15";"117890"
"518";"Calidris";"1988-11-15";"22500"
"519";"Calidris";"1988-12-15";"0"
"520";"Calidris";"1989-01-15";"72000"
"521";"Calidris";"1989-02-15";"0"
"522";"Calidris";"1989-03-15";"0"
"523";"Calidris";"1989-04-15";"15150"
"524";"Calidris";"1989-05-15";"0"
"525";"Calidris";"1989-06-15";"0"
"526";"Calidris";"1989-07-15";"4890"
"527";"Calidris";"1989-08-15";"14775"
"528";"Calidris";"1989-09-15";"0"
"529";"Calidris";"1989-10-15";"0"
"530";"Calidris";"1989-11-15";"288090"
"531";"Calidris";"1989-12-15";"450720"
"532";"Calidris";"1990-01-15";"36270"
"533";"Calidris";"1990-02-15";"77040"
"534";"Calidris";"1990-03-15";"49920"
"535";"Calidris";"1990-04-15";"11820"
"536";"Calidris";"1990-05-15";"8775"
"537";"Calidris";"1990-06-15";"2025"
"538";"Calidris";"1990-07-15";"1530"
"539";"Calidris";"1990-08-15";"19867.5"
"540";"Calidris";"1990-09-15";"86720"
"541";"Calidris";"1990-10-15";"113527.5"
"542";"Calidris";"1990-11-15";"220500"
"543";"Calidris";"1990-12-15";"125350"
"544";"Calidris";"1991-01-15";"0"
"545";"Calidris";"1991-02-15";"185500"
"546";"Calidris";"1991-03-15";"18540"
"547";"Calidris";"1991-04-15";"2025"
"548";"Calidris";"1991-05-15";"17295"
"549";"Calidris";"1991-06-15";"0"
"550";"Calidris";"1991-07-15";"0"
"551";"Calidris";"1991-08-15";"4320"
"552";"Calidris";"1991-09-15";"81347.5"
"553";"Calidris";"1991-10-15";"66600"
"554";"Calidris";"1991-11-15";"0"
"555";"Calidris";"1991-12-15";"0"
"556";"Calidris";"1992-01-15";"26730"
"557";"Calidris";"1992-02-15";"0"
"558";"Calidris";"1992-03-15";"0"
"559";"Calidris";"1992-04-15";"0"
"560";"Calidris";"1992-05-15";"0"
"561";"Calidris";"1992-06-15";"0"
"562";"Calidris";"1992-07-15";"2385"
"563";"Calidris";"1992-08-15";"47700"
"564";"Calidris";"1992-09-15";"60475"
"565";"Calidris";"1992-10-15";"0"
"566";"Calidris";"1992-11-15";"666520"
"567";"Calidris";"1992-12-15";"257214.5"
"568";"Calidris";"1993-01-15";"0"
"569";"Calidris";"1993-02-15";"0"
"570";"Calidris";"1993-03-15";"0"
"571";"Calidris";"1993-04-15";"0"
"572";"Calidris";"1993-05-15";"24.5"
"573";"Calidris";"1993-06-15";"0"
"574";"Calidris";"1993-07-15";"0"
"575";"Calidris";"1993-08-15";"4440"
"576";"Calidris";"1993-09-15";"107755"
"577";"Calidris";"1993-10-15";"214815"
"578";"Calidris";"1993-11-15";"0"
"579";"Calidris";"1993-12-15";"117900"
"580";"Calidris";"1994-01-15";"24.5"
"581";"Calidris";"1994-02-15";"81024.5"
"582";"Calidris";"1994-03-15";"248160"
"583";"Calidris";"1994-04-15";"41340"
"584";"Calidris";"1994-05-15";"8100"
"585";"Calidris";"1994-06-15";"0"
"586";"Calidris";"1994-07-15";"2287.5"
"587";"Calidris";"1994-08-15";"45000"
"588";"Calidris";"1994-09-15";"62977"
"589";"Calidris";"1994-10-15";"2220"
"590";"Calidris";"1994-11-15";"1020"
"591";"Calidris";"1994-12-15";"0"
"592";"Calidris";"1995-01-15";"0"
"593";"Calidris";"1995-02-15";"18000"
"594";"Calidris";"1995-03-15";"0"
"595";"Calidris";"1995-04-15";"2175"
"596";"Calidris";"1995-05-15";"17710"
"597";"Calidris";"1995-06-15";"0"
"598";"Calidris";"1995-07-15";"0"
"599";"Calidris";"1995-08-15";"12995"
"600";"Calidris";"1995-09-15";"83565"
"601";"Calidris";"1995-10-15";"0"
"602";"Calidris";"1995-11-15";"0"
"603";"Calidris";"1995-12-15";"0"
"604";"Calidris";"1996-01-15";"0"
"605";"Calidris";"1996-02-15";"2910"
"606";"Calidris";"1996-03-15";"0"
"607";"Calidris";"1996-04-15";"450"
"608";"Calidris";"1996-05-15";"62750"
"609";"Calidris";"1996-06-15";"0"
"610";"Calidris";"1996-07-15";"0"
"611";"Calidris";"1996-08-15";"7200"
"612";"Calidris";"1996-09-15";"159425"
"613";"Calidris";"1996-10-15";"0"
"614";"Calidris";"1996-11-15";"0"
"615";"Calidris";"1996-12-15";"0"
"616";"Calidris";"1997-01-15";"94500"
"617";"Calidris";"1997-02-15";"0"
"618";"Calidris";"1997-03-15";"0"
"619";"Calidris";"1997-04-15";"24750"
"620";"Calidris";"1997-05-15";"0"
"621";"Calidris";"1997-06-15";"0"
"622";"Calidris";"1997-07-15";"0"
"623";"Calidris";"1997-08-15";"9810"
"624";"Calidris";"1997-09-15";"0"
"625";"Calidris";"1997-10-15";"0"
"626";"Calidris";"1997-11-15";"0"
"627";"Calidris";"1997-12-15";"0"
"628";"Calidris";"1998-01-15";"0"
"629";"Calidris";"1998-02-15";"120"
"630";"Calidris";"1998-03-15";"0"
"631";"Calidris";"1998-04-15";"0"
"632";"Calidris";"1998-05-15";"0"
"633";"Calidris";"1998-06-15";"0"
"634";"Calidris";"1998-07-15";"1935"
"635";"Calidris";"1998-08-15";"0"
"636";"Calidris";"1998-09-15";"34339.5"
"637";"Calidris";"1998-10-15";"58400"
"638";"Calidris";"1998-11-15";"162180"
"639";"Calidris";"1998-12-15";"203340"
"640";"Calidris";"1999-01-15";"0"
"641";"Calidris";"1999-02-15";"0"
"642";"Calidris";"1999-03-15";"0"
"643";"Calidris";"1999-04-15";"0"
"644";"Calidris";"1999-05-15";"0"
"645";"Calidris";"1999-06-15";"0"
"646";"Calidris";"1999-07-15";"0"
"647";"Calidris";"1999-08-15";"27390"
